model,window_size,t_start,t_end,popt,R2,Tm1,protein,plate_ID,rep,well,ligand,Tm_D,Tm1_neg,dTm1,Tm_D_neg,dTm_D
mB,,25.0016,94.9409,[-1.11470877  0.32582271  0.04485933  1.20410353  0.43312281  0.02969748],0.9861646832102298,55.29390597635056,B9,PM1,Rep02,E02,m-Tartaric Acid,57.057114,75.4176646300518,-20.123758653701245,57.542805,-0.48569100000000276
mB,,25.0016,94.9409,[-1.1214054   0.31858091 -0.2976502   1.50418932  0.44756874  0.03496739],0.9902570755261629,56.30424444525589,B9,PM1,Rep02,E03,D-Glucose-1-Phosphate,57.542805,75.4176646300518,-19.113420184795913,57.542805,0.0
mB,,25.0016,94.9409,[-1.37631319  0.37560851  0.14605404  1.33541674  0.43621428  0.03719922],0.9831345381788984,55.51012165174398,B9,PM1,Rep02,E04,D-Fructose-6-Phosphate,57.057114,75.4176646300518,-19.907542978307823,57.542805,-0.48569100000000276
mB,,25.0016,94.9409,[-1.69468457  0.80821639 -0.53979801  1.36478499  0.4678974   0.02038384],0.9911375043487055,57.72601693758931,B9,PM1,Rep02,E05,Tween 80,58.999874,75.4176646300518,-17.691647692462496,57.542805,1.457068999999997
mB,,25.0016,94.9409,[-0.99820932  0.30494535 -0.35678685  1.45351152  0.45021042  0.03019605],0.9905716725701921,56.48900185688909,B9,PM1,Rep02,E06,alpha-Hydroxy Glutaric Acid-gamma-Lactone,58.028492,75.4176646300518,-18.928662773162714,57.542805,0.48568699999999865
mB,,25.0016,94.9409,[-1.10061962  0.30902491 -0.37799541  1.586304    0.4542892   0.03758119],0.9913941196036953,56.774268447933956,B9,PM1,Rep02,E07,alpha-Hydroxy Butyric Acid,58.514183,75.4176646300518,-18.643396182117847,57.542805,0.9713780000000014
mB,,25.0016,94.9409,[-1.00958094  0.29342035 -0.61532268  1.67117176  0.45554463  0.0347932 ],0.9960454266533282,56.862072671390706,B9,PM1,Rep02,E08,beta-Methyl-D-Glucoside,58.028492,75.4176646300518,-18.555591958661097,57.542805,0.48568699999999865
mB,,25.0016,94.9409,[-0.99811831  0.28486716 -0.55538209  1.65118577  0.45629724  0.03630235],0.9962353316810987,56.91470982487367,B9,PM1,Rep02,E09,Adonitol,58.028492,75.4176646300518,-18.502954805178135,57.542805,0.48568699999999865
mB,,25.0016,94.9409,[-0.93924907  0.27693243 -0.67027611  1.65628055  0.45354383  0.03303171],0.9947735159257709,56.72213814469781,B9,PM1,Rep02,E10,Maltotriose,58.028492,75.4176646300518,-18.695526485353994,57.542805,0.48568699999999865
mB,,25.0016,94.9409,[-1.48342772  0.41592079 -0.17757631  1.6128118   0.45429829  0.0400222 ],0.9928762470019904,56.774904742229126,B9,PM1,Rep02,E11,2-Deoxy Adenosine,58.028492,75.4176646300518,-18.642759887822677,57.542805,0.48568699999999865
mB,,25.0016,94.9409,[-1.53872178  0.41273481 -0.1649491   1.65941397  0.45340736  0.04372825],0.9962581641655225,56.7125931759319,B9,PM1,Rep02,E12,Adenosine,57.542805,75.4176646300518,-18.705071454119903,57.542805,0.0
mB,,25.0016,94.9409,[-1.09486638  0.29728209 -0.42987572  1.64686255  0.44770456  0.03804149],0.9934192720546184,56.31374327685962,B9,PM1,Rep02,F01,Glycyl-L-Aspartic Acid,57.057114,75.4176646300518,-19.103921353192185,57.542805,-0.48569100000000276
mB,,25.0016,94.9409,[-0.91908714  0.29433234  0.21325931  0.93114898  0.43140998  0.02254925],0.949923904188006,55.17411172632126,B9,PM1,Rep02,F02,Citric Acid,57.542805,75.4176646300518,-20.243552903730546,57.542805,0.0
mB,,25.0016,94.9409,[-0.89218837  0.28367806  0.1912653   0.92849858  0.43268808  0.02220664],0.9275388675892133,55.26350160581184,B9,PM1,Rep02,F03,m-Inositol,57.542805,75.4176646300518,-20.154163024239963,57.542805,0.0
mB,,25.0016,94.9409,[-1.66152367  0.38435104  0.51703218  1.2834333   0.43563838  0.05411051],0.9361740909108639,55.46984366830476,B9,PM1,Rep02,F04,D-Threonine,57.057114,75.4176646300518,-19.94782096174704,57.542805,-0.48569100000000276
mB,,25.0016,94.9409,[-1.34539194  0.37620402  0.18225084  1.26585821  0.4366119   0.03507949],0.9767148418828243,55.537930727396,B9,PM1,Rep02,F05,Fumaric Acid,57.542805,75.4176646300518,-19.8797339026558,57.542805,0.0
mB,,25.0016,94.9409,[-1.47547359  0.36952677 -0.14247774  1.67245327  0.44590706  0.04621857],0.9826927675256553,56.18802738573594,B9,PM1,Rep02,F06,Bromo Succinic Acid,57.542805,75.4176646300518,-19.22963724431586,57.542805,0.0
mB,,25.0016,94.9409,[-0.77811772  0.25206356 -0.36591421  1.20999117  0.4390885   0.02237026],0.9377094049094777,55.711142353652605,B9,PM1,Rep02,F07,Propionic Acid,57.542805,75.4176646300518,-19.7065222763992,57.542805,0.0
mB,,25.0016,94.9409,[-1.72490872  0.37390102  0.10854817  1.68999337  0.45159537  0.06343192],0.9822911450324736,56.585863713520894,B9,PM1,Rep02,F08,Mucic Acid,57.057114,75.4176646300518,-18.83180091653091,57.542805,-0.48569100000000276
mB,,25.0016,94.9409,[-0.95758659  0.2760673  -0.59573721  1.63951348  0.45388971  0.03502692],0.9958966629250422,56.74632828651184,B9,PM1,Rep02,F09,Glycolic Acid,58.028492,75.4176646300518,-18.671336343539963,57.542805,0.48568699999999865
mB,,25.0016,94.9409,[-1.08368526  0.28430086 -0.59905726  1.77829565  0.4585028   0.04320557],0.9980021653415644,57.06896454303727,B9,PM1,Rep02,F10,Glyoxylic Acid,57.542805,75.4176646300518,-18.348700087014535,57.542805,0.0
mB,,25.0016,94.9409,[-1.0630106   0.29286278 -0.62576261  1.72912911  0.4544357   0.03877749],0.9973551777076362,56.784515039998624,B9,PM1,Rep02,F11,D-Cellobiose,57.542805,75.4176646300518,-18.63314959005318,57.542805,0.0
mB,,25.0016,94.9409,[-1.34268863  0.38091252 -0.39809158  1.69056228  0.45531684  0.0378692 ],0.9950279612293813,56.84614138056309,B9,PM1,Rep02,F12,Inosine,58.028492,75.4176646300518,-18.571523249488713,57.542805,0.48568699999999865
mB,,25.0016,94.9409,[-1.14672355  0.31047868 -0.42394672  1.66158694  0.44842611  0.03892295],0.9937442065981065,56.36420804317849,B9,PM1,Rep02,G01,Glycyl-L-Glutamic Acid,57.542805,75.4176646300518,-19.05345658687331,57.542805,0.0
mB,,25.0016,94.9409,[-1.22324339  0.32447876 -0.31459851  1.65170083  0.44728221  0.04070592],0.9927894541503417,56.284204667980376,B9,PM1,Rep02,G02,Tricarballylic Acid,57.057114,75.4176646300518,-19.133459962071427,57.542805,-0.48569100000000276
mB,,25.0016,94.9409,[-1.10098898  0.30597111 -0.53140122  1.68629538  0.45035245  0.03693022],0.9960212804417687,56.498935114582444,B9,PM1,Rep02,G03,L-Serine,57.542805,75.4176646300518,-18.91872951546936,57.542805,0.0
mB,,25.0016,94.9409,[-1.14003423  0.32304862 -0.20725846  1.47358408  0.4467295   0.03578745],0.9945728317682193,56.24554872409773,B9,PM1,Rep02,G04,L-Threonine,57.542805,75.4176646300518,-19.172115905954072,57.542805,0.0
mB,,25.0016,94.9409,[-1.17769393  0.32891011 -0.32140371  1.57674419  0.45013645  0.03680958],0.9949689296443592,56.483828371836694,B9,PM1,Rep02,G05,L-Alanine,57.542805,75.4176646300518,-18.93383625821511,57.542805,0.0
mB,,25.0016,94.9409,[-1.06343631  0.30382336 -0.37139011  1.52981626  0.44972723  0.03541714],0.9938969228737613,56.455207495629836,B9,PM1,Rep02,G06,L-Alanyl-Glycine,57.542805,75.4176646300518,-18.962457134421967,57.542805,0.0
mB,,25.0016,94.9409,[-0.99079914  0.29094928 -0.51955525  1.60376329  0.45382434  0.03379136],0.9958691500593884,56.74175648784353,B9,PM1,Rep02,G07,Acetoacetic Acid,58.028492,75.4176646300518,-18.67590814220827,57.542805,0.48568699999999865
mB,,25.0016,94.9409,[-0.97498026  0.28511513 -0.53237518  1.61082356  0.45374701  0.03393399],0.9948528937574155,56.73634851209012,B9,PM1,Rep02,G08,N-Acetyl-beta-D-Mannosamine,58.028492,75.4176646300518,-18.681316117961686,57.542805,0.48568699999999865
mB,,25.0016,94.9409,[-1.04542613  0.29350514 -0.60020544  1.71419677  0.45487706  0.03788155],0.9973741870644978,56.81538345903461,B9,PM1,Rep02,G09,Mono Methyl Succinate,57.542805,75.4176646300518,-18.602281171017196,57.542805,0.0
mB,,25.0016,94.9409,[-1.52560541  0.3375642  -0.10620847  1.71121091  0.4590327   0.06260522],0.9864562096397106,57.10602539041885,B9,PM1,Rep02,G10,Methyl Pyruvate,57.057114,75.4176646300518,-18.311639239632953,57.542805,-0.48569100000000276
mB,,25.0016,94.9409,[-1.48302036  0.34990834 -0.25098154  1.7884774   0.45903764  0.05656299],0.9951282672517532,57.106370952649456,B9,PM1,Rep02,G11,D-Malic Acid,57.057114,75.4176646300518,-18.311293677402347,57.542805,-0.48569100000000276
mB,,25.0016,94.9409,[-1.66378471  0.36872132  0.01374968  1.71202663  0.44914901  0.05944183],0.9775489109246172,56.41476726587901,B9,PM1,Rep02,G12,L-Malic Acid,57.057114,75.4176646300518,-19.002897364172796,57.542805,-0.48569100000000276
mB,,25.0016,94.9409,[-1.14785072  0.32103645 -0.04671978  1.36003483  0.43767482  0.0348094 ],0.9916052054983238,55.61227030130112,B9,PM1,Rep02,H01,Glycyl-L-Proline,57.057114,75.4176646300518,-19.80539432875068,57.542805,-0.48569100000000276
mB,,25.0016,94.9409,[-1.0694604   0.29161156 -0.26079867  1.52433923  0.44361699  0.03685586],0.9922092562986983,56.02786160578308,B9,PM1,Rep02,H02,p-Hydroxy Phenyl Acetic Acid,57.057114,75.4176646300518,-19.389803024268723,57.542805,-0.48569100000000276
mB,,25.0016,94.9409,[-1.03344314  0.29257713 -0.30812758  1.50771162  0.44401919  0.03419541],0.9961367839523415,56.05599101185341,B9,PM1,Rep02,H03,m-Hydroxy Phenyl Acetic Acid,57.057114,75.4176646300518,-19.361673618198395,57.542805,-0.48569100000000276
mB,,25.0016,94.9409,[-1.36420806  0.34548905  0.06997993  1.4738017   0.44318019  0.04494299],0.9916407855820694,55.99731226620307,B9,PM1,Rep02,H04,Tyramine,57.057114,75.4176646300518,-19.420352363848735,57.542805,-0.48569100000000276
mB,,25.0016,94.9409,[-1.1972264   0.33415797 -0.05347209  1.42648435  0.44259782  0.03590565],0.9957656604117305,55.956582024057,B9,PM1,Rep02,H05,D-Psicose,57.057114,75.4176646300518,-19.461082605994804,57.542805,-0.48569100000000276
mB,,25.0016,94.9409,[-1.20922205  0.3338782  -0.10685146  1.46859433  0.44223519  0.03675006],0.9927531155643222,55.93121977159172,B9,PM1,Rep02,H06,L-Lyxose,57.057114,75.4176646300518,-19.486444858460082,57.542805,-0.48569100000000276
mB,,25.0016,94.9409,[-1.0682334   0.30206467 -0.49205406  1.63560951  0.45141614  0.0363895 ],0.9963058656551044,56.57332886288286,B9,PM1,Rep02,H07,Glucuronamide,57.542805,75.4176646300518,-18.844335767168943,57.542805,0.0
mB,,25.0016,94.9409,[-0.79453079  0.25787099 -0.26348572  1.16824425  0.43880112  0.02251415],0.9552179147886906,55.6910431499895,B9,PM1,Rep02,H08,Pyruvic Acid,57.542805,75.4176646300518,-19.726621480062306,57.542805,0.0
